sending_facility,sending_facility_oid
PROVIDENCE PORTLAND MED CTR PSC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR INTRA OP,1.2.840.114350.1.13.297.2.7.2.696570.40
Oregon Internal Medicine Business Office,1.2.840.114350.1.13.297.2.7.2.696570.729
Oregon Internal Medicine,1.2.840.114350.1.13.297.2.7.2.696570.729
PROVIDENCE SEASIDE HOSPITAL PRE OP,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC Discharge Planner,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE WILLAMETTE FALLS MED CTR NURSERY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL CASE MANAGEMENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG HAPPY VALLEY IC,1.2.840.114350.1.13.297.2.7.2.696570.405515
PMG MEDFORD HEART RHYTHM,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG BATTLE GROUND XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
Jeffrey J Horacek MD,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR NEUROSURGERY,1.2.840.114350.1.13.297.2.7.2.696570.40
Asante Physician Partners Black Oak Imaging,1.2.840.114350.1.13.333.2.7.2.696570.10
Providence Pediatric Neurology Bend,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL MEDSURG,1.2.840.114350.1.13.297.2.7.2.696570.40
SKY LAKES MEDICAL PALLATIVE CARE,1.2.840.114350.1.13.333.2.7.2.696570.60
OSS Seaside OP Pharmacy Services,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL PROVIDER ONCOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL INTRA OP,1.2.840.114350.1.13.297.2.7.2.696570.40
OREGON AMBULATORY BUSINESS OFFICE,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC CVI Coumadin Clinic,1.2.840.114350.1.13.333.2.7.2.696570.10
SLM RESOURCE MGMT,1.2.840.114350.1.13.333.2.7.2.696570.60
PROVIDENCE MEDFORD MED CTR PROVIDER CARDIOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR CARDIOLOGY 6E,1.2.840.114350.1.13.297.2.7.2.696570.40
OHR SUMMIT MEDICAL GROUP,1.2.840.114350.1.13.297.2.7.2.696570.404101008
West Linn Family Health Center,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
JV CMI CENTER FOR MEDICAL IMAGING LLC,1.2.840.114350.1.13.297.2.7.2.696570.902100
OSV PROVIDENCE TANASBOURNE HEALTH CENTER,1.2.840.114350.1.13.297.2.7.2.696570.405161010
PROVIDENCE WILLAMETTE FALLS PROVIDER MEDSURG,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL PHARMACY,1.2.840.114350.1.13.297.2.7.2.696570.40
SLM MEDICAL,1.2.840.114350.1.13.333.2.7.2.696570.60
RRMC Intensive Care Unit,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE WILLAMETTE FALLS MED CTR ACCESS SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG CENTRAL PHARMACY,1.2.840.114350.1.13.297.2.7.2.696570.40
OWF EXTERNAL IMAGING,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR ACCESS SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR ICU,1.2.840.114350.1.13.297.2.7.2.696570.40
EMH Emergency,1.2.840.114350.1.13.333.2.7.2.696570.10
CC OCG COLUMBIA GORGE ENT HOOD RIVER,1.2.840.114350.1.13.297.2.7.2.696570.70902
PROVIDENCE ORAL ONCOLOGY AND ORAL MEDICINE WEST,1.2.840.114350.1.13.297.2.7.2.696570.40
OHSU Beaverton Cho,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG SUNSET,1.2.840.114350.1.13.297.2.7.2.696570.405506
PROVIDENCE PORTLAND MED CTR HYPERBARIC MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR LABOR AND DELIVERY IP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV GYNECOLOGIC ONCOLOGY EAST,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PHARMACY,1.2.840.114350.1.13.297.2.7.2.696570.40
Family Medical Grp Molalla,1.2.840.114350.1.13.297.2.7.2.696570.40
Northwest Internal Medicine Bvtn,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Child Center Pediatric,1.2.840.114350.1.13.297.2.7.2.696570.40
OHR PROVIDENCE ORTHOPEDIC CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.404101002
PHS WAMT MYCHART CUSTOMER SUPPORT,1.2.840.114350.1.13.297.2.7.2.696570.30
SLM PVDR OB,1.2.840.114350.1.13.333.2.7.2.696570.60
ASANTE ROGUE REGIONAL MEDICAL CENTER MED SURG OVERFLOW,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL CT,1.2.840.114350.1.13.297.2.7.2.696570.40
TRMC Wound &amp; Ostomy Clinic,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE MEDICAL GROUP GERIATRIC AND LONG TERM CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
Oregon Pediatrics PPP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR MUSCULR DSTRPHY CL,1.2.840.114350.1.13.297.2.7.2.696570.40
Porfirio Pena MD,1.2.840.114350.1.13.297.2.7.2.696570.40
OSV PROVIDENCE SCHOLLS MEDICAL PLAZA,1.2.840.114350.1.13.297.2.7.2.696570.405161007
PROVIDENCE MEDFORD MED CTR RADIATION ONCOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR RENAL DIABETES,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS PROVIDER OBGYN,1.2.840.114350.1.13.297.2.7.2.696570.40
OR Ortho Sports Med OC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR QUALITY MANAGEMENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR MRI,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR ONCOLOGY 5W,1.2.840.114350.1.13.297.2.7.2.696570.40
Cascade Physicians Lovejoy,1.2.840.114350.1.13.297.2.7.2.696570.40
SLM OCCUPATIONAL THERAPY,1.2.840.114350.1.13.333.2.7.2.696570.60
Kara M Kassay MD,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL MAMMOGRAPHY,1.2.840.114350.1.13.297.2.7.2.696570.40
OPH PROVIDENCE PORTLAND PLAZA,1.2.840.114350.1.13.297.2.7.2.696570.405141014
PROVIDENCE MEDICAL GROUP LLOYD FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL RESPIRATORY THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG NEWBERG GENERAL SURGERY AT MERCANTILE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR NUTRITION SERVICES,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG HAPPY VALLEY,1.2.840.114350.1.13.297.2.7.2.696570.405516
Pacific Medical Group Tigard,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS PROVIDER SURGICAL,1.2.840.114350.1.13.297.2.7.2.696570.40
Columbia Gorge Family Medicine,1.2.840.114350.1.13.297.2.7.2.696570.40
One Community Health,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC Nutrition,1.2.840.114350.1.13.333.2.7.2.696570.10
PMMC Sleep Center,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR IRU,1.2.840.114350.1.13.297.2.7.2.696570.40
OHR HEALTH SERVICES BUILDING,1.2.840.114350.1.13.297.2.7.2.696570.404101001
PROVIDENCE MEDFORD MED CTR PAIN MANAGEMENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR ACUTE THERAPY SLP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PRE OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PD PRE OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL PROVIDER MED SURG,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR ECHO,1.2.840.114350.1.13.297.2.7.2.696570.40
Compass Onc PPP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE CHILD CENTER PROVIDER PEDIATRICS,1.2.840.114350.1.13.297.2.7.2.696570.40
Internal Medicine of Oregon,1.2.840.114350.1.13.297.2.7.2.696570.40
Westside Internal Med 205,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL MAMMOGRAPHY,1.2.840.114350.1.13.297.2.7.2.696570.40
The Oregon Clinic GMIS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HSPTL NUCLEAR MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
OREGON BUSINESS OFFICE,1.2.840.114350.1.13.297.2.7.2.696570.400009
PMG ORENCO,1.2.840.114350.1.13.297.2.7.2.696570.405501
ONE COMMUNITY HEALTH BILLING,1.2.840.114350.1.13.66.2.7.2.696570.68
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL ANESTHESIA,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV STV HC HEART RHYTHM AT PENDLETON,1.2.840.114350.1.13.297.2.7.2.696570.40
ONE COMMUNITY HLTH IMAT,1.2.840.114350.1.13.66.2.7.2.696570.68
PROVIDENCE PORTLAND MED CTR SURGICAL 4G,1.2.840.114350.1.13.297.2.7.2.696570.40
SLM SPEECH PATHOLOGY,1.2.840.114350.1.13.333.2.7.2.696570.60
TRMC Speech Language Pathologist,1.2.840.114350.1.13.333.2.7.2.696570.10
SLM POST SURGICAL,1.2.840.114350.1.13.333.2.7.2.696570.60
RRMC Speech Language Pathologist,1.2.840.114350.1.13.333.2.7.2.696570.10
RRMC Lactation Clinic,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE SEASIDE HOSPITAL NURSERY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR SLEEP LAB AND EEG,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE CDI CHILD CTR THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PHARMACY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE CDI CHILD CTR PSYCH,1.2.840.114350.1.13.297.2.7.2.696570.40
OFFICE,1.3.6.1.4.1.22812.4.10008636.0.0
PROVIDENCE CDI SAINT VINCENT THERAPY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE CDI CHILD CTR PROVIDER,1.2.840.114350.1.13.297.2.7.2.696570.40
William A Spisak MD,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
"Renal Care Consultants, PC",1.3.6.1.4.1.22812.4.10008636.0.0
RENAL CARE CONSULTANTS PC,1.3.6.1.4.1.22812.4.10008636.0.0
RRMC Medical Oncology,1.2.840.114350.1.13.333.2.7.2.696570.10
PROV CARDIAC DEVICE &amp; MONITORING CLINIC PSVMC,1.2.840.114350.1.13.297.2.7.2.696570.40
Paula D Kilpatrick MD,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HEART TRANSPLANT CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
OPH PLAZA,1.2.840.114350.1.13.297.2.7.2.696570.405141020
PROVIDENCE SAINT VINCENT MED CTR PICU,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WOMENS CLINIC PPMC,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG SUNSET FAMILY MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.405533
TRMC Pre Operative Clinic,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE WILLAMETTE FALLS MED CTR ANESTHESIA,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PROVIDER PEDIATRICS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PROVIDER NICU,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE CDI SAINT VINCENT,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG SUNSET DERMATOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.405682
PROVIDENCE HOOD RIVER HOSPITAL INTEGRATIVE MED,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL HEMODIALYSIS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR ARTHRITIS CENTER,1.2.840.114350.1.13.297.2.7.2.696570.40
RCH INTEGRATIVE HEALTH CLINIC,1.2.840.114350.1.13.66.2.7.2.696570.34
PROVIDENCE WILLAMETTE FALLS MED CTR CANBY CT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE CDI SAINT VINCENT PSYCH,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL PREADMIT CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
OSS WHEELER GENERAL SURGERY,1.2.840.114350.1.13.297.2.7.2.696570.40
Cornell Family Med,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE PULMONARY FUNCTION,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR NICU,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG PHOENIX XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS MED CTR XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
Antonio Pena MD,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV PEDIATRIC ENDOCRINOLOGY AT MILWAUKIE,1.2.840.114350.1.13.297.2.7.2.696570.40
Asante Physician Partners Diabetes and Nutrition Education,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE MEDFORD MED CTR PREADMIT CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL PT IP,1.2.840.114350.1.13.297.2.7.2.696570.40
TRMC Discharge Planner,1.2.840.114350.1.13.333.2.7.2.696570.10
Asante Diabetes Care Center and Nutrition Services,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE PORTLAND MED CTR THE OREGON CLINIC LAB,1.2.840.114350.1.13.297.2.7.2.696570.40
OPH REGIONAL LAB MICRO MOLECULAR,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MOTHER BABY CLINIC ST VINCENT,1.2.840.114350.1.13.297.2.7.2.696570.40
POH BRIDGEPORT OCCUPATIONAL MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR CLINICAL LAB,1.2.840.114350.1.13.297.2.7.2.696570.40
Integrative Pediatrics,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR ARTHRITIS CENTER INFUSION,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL MAMMOGRAPHY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PALLIATIVE CARE SOUTH,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MEDFORD GASTROENTEROLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG WILSONVILLE,1.2.840.114350.1.13.297.2.7.2.696570.405512
PROVIDENCE PORTLAND MED CTR CLINICAL LABORATORY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR SPIRITUAL CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
CHC PROVIDENCE HOLY CROSS MEDICAL CENTER,1.2.840.114350.1.13.297.2.7.2.696570.501101
PROVIDENCE CLINICAL GENETICS,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR RADIATION ONCOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR SLEEP LAB AND EEG,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Pediatric Gastroenterology,1.2.840.114350.1.13.297.2.7.2.696570.40
PHS OREGON ROI,1.2.840.114350.1.13.297.2.7.2.696570.4001001
PROVIDENCE SEASIDE HOSPITAL PT IP,1.2.840.114350.1.13.297.2.7.2.696570.40
AACH Pre Operative Clinic,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL CASE MGMT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL ULTRASOUND,1.2.840.114350.1.13.297.2.7.2.696570.40
DAVITA KLAMATH FALLS DIALYSIS,1.3.6.1.4.1.22812.4.10008636.0.0
Mountain View Medical Center,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS MED CTR LABORATORY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SEASIDE HOSPITAL PALLIATIVE CARE,1.2.840.114350.1.13.297.2.7.2.696570.40
TRMC Medical Surgery,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE MEDFORD MED CTR ULTRASOUND,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Neurological Specialties Stroke Center - West,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Medford Medical Clinic Hillcrest Lab,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MILL PLAIN XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR MP INTRA OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC - NORTH COAST WHEELER,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR ANESTHESIA,1.2.840.114350.1.13.297.2.7.2.696570.40
APP COUMADIN CLINIC,1.2.840.114350.1.13.333.2.7.2.696570.10
RRMC Neonatal Intensive Care Unit,1.2.840.114350.1.13.333.2.7.2.696570.10
PROV PORTLAND SURGICAL SPECIALIST,1.2.840.114350.1.13.297.2.7.2.696570.40
SKY LAKES MEDICAL CENTER OUPATIENT REHABILITATION,1.2.840.114350.1.13.333.2.7.2.696570.60
PMG MEDFORD DIABETES EDUCATION,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR BRIDGEPORT LAB,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL SPEECH IP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR ACCESS SRVCS,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG LLOYD PSYCHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL ICU,1.2.840.114350.1.13.297.2.7.2.696570.40
Womens Health Care of OR,1.2.840.114350.1.13.297.2.7.2.696570.40
OHR ENDOCRINOLOGY AT INTERNAL MEDICINE,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL INTRA OP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR MED SURG,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV HH YAMHILL,1.2.840.114350.1.13.297.2.7.2.696570.40
RRMC NM Imaging,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE WILLAMETTE FALLS CASE MGMT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR PT MOB IP,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR MOB LAB AND XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV PEDIATRIC NEUROLOGY AT MILWAUKIE,1.2.840.114350.1.13.297.2.7.2.696570.40
THE ENDOCRINE CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE WILLAMETTE FALLS PROVIDER NICU,1.2.840.114350.1.13.297.2.7.2.696570.40
OSS ASTORIA ORTHOPEDICS,1.2.840.114350.1.13.297.2.7.2.696570.40
Portland Family Practice,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PEDIATRIC SURGERY MJP,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Pediatric SURGERY MJP,1.2.840.114350.1.13.297.2.7.2.696570.40
SLM WOUND CARE,1.2.840.114350.1.13.333.2.7.2.696570.60
PROVIDENCE HOOD RIVER MEM HOSP MOUNTAIN CLINIC,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR OB PROCEDURES,1.2.840.114350.1.13.297.2.7.2.696570.40
OPH REGIONAL LAB PATHOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR OB PROCEDURES,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Medical Group Medford,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEWBERG MED CTR MAMMOGRAPHY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV GYNECOLOGIC ONCOLOGY WEST,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG SHERWOOD IC,1.2.840.114350.1.13.297.2.7.2.696570.401570
PROVIDENCE NEWBERG MED CTR PROVIDER PEDIATRICS,1.2.840.114350.1.13.297.2.7.2.696570.40
OPH REGIONAL LAB PATIENT SERVICE CENTER,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PERINATAL SPECIAL CARE UNIT,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC - NORTH COAST ASTORIA ECHO,1.2.840.114350.1.13.297.2.7.2.696570.40
OR HOME HEALTH SOUTHERN OREGON,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR CARDIOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR MJP CARDIAC REHAB,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MEDFORD MED CTR LABOR AND DELIVERY IP,1.2.840.114350.1.13.297.2.7.2.696570.40
TRMC Social Worker,1.2.840.114350.1.13.333.2.7.2.696570.10
Cleary Medical Associates,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence Neurological Specialties Cognitive Assessment Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV EXPRESS CARE VIRTUAL OR,1.2.840.114350.1.13.297.2.7.2.696570.401571
PMG ASHLAND XRAY,1.2.840.114350.1.13.297.2.7.2.696570.40
APP UROLOGY MF,1.2.840.114350.1.13.333.2.7.2.696570.10
OPH REGIONAL LAB REFERENCE TESTING,1.2.840.114350.1.13.297.2.7.2.696570.40
Olson Clinic Int Med,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR PROVIDER TOC,1.2.840.114350.1.13.297.2.7.2.696570.40
TRMC Medical Surgical,1.2.840.114350.1.13.333.2.7.2.696570.10
AACH Main Pharmacy,1.2.840.114350.1.13.333.2.7.2.696570.10
ACOH Post Anesthesia Care Unit,1.2.840.114350.1.13.333.2.7.2.696570.10
PMG NEWBERG,1.2.840.114350.1.13.297.2.7.2.696570.401501
PROVIDENCE HOOD RIVER MEMORIAL HOSPITAL PROVIDER ORTHO,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE HEART CLINIC - NORTH COAST SEASIDE ECHO,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE SAINT VINCENT MED CTR  MJP ELECTRODIAGNOSTICS,1.2.840.114350.1.13.297.2.7.2.696570.40
ONE COMMUNITY HEALTH THE DALLES,1.2.840.114350.1.13.66.2.7.2.696570.68002
Prov Maternal Care Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
SKY LAKES MEDICAL CENTER OUTPATIENT IMAGING,1.2.840.114350.1.13.333.2.7.2.696570.60
PMG Ashland Psychology,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE MILWAUKIE HOSPITAL ULTRASOUND,1.2.840.114350.1.13.297.2.7.2.696570.40
ASANTE ROGUE REGIONAL MEDICAL CENTER,1.2.840.114350.1.13.333.2.7.2.696570.10100
OR HOSPICE SOUTH,1.2.840.114350.1.13.297.2.7.2.696570.40
PROV ILWACO ECHO,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE NEUROLOGICAL SPECIALTIES,1.2.840.114350.1.13.297.2.7.2.696570.405668
PROVIDENCE PORTLAND MED CTR MRI,1.2.840.114350.1.13.297.2.7.2.696570.40
Warren Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
Asante Physician Partners Fam Med 3 Behavioral Health,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE MEDFORD MED CTR ELECTRODIAGNOSTICS,1.2.840.114350.1.13.297.2.7.2.696570.40
Rogue Valley Urology,1.2.840.114350.1.13.297.2.7.2.696570.40
PROVIDENCE PORTLAND MED CTR SE DIAGNOSTIC IMAGING MAMMO,1.2.840.114350.1.13.297.2.7.2.696570.40
Portland Knee Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
Medford Medical Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG Medford Hospitalists,1.2.840.114350.1.13.297.2.7.2.696570.40
SLM NUTRITION,1.2.840.114350.1.13.333.2.7.2.696570.60
Providence Psychiatry SW Peds,1.2.840.114350.1.13.297.2.7.2.696570.40
Davies Clinic,1.2.840.114350.1.13.297.2.7.2.696570.40
Providence ORCA Provider System Telestroke,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG MEDFORD CARDIOVASCULAR SURGERY,1.2.840.114350.1.13.297.2.7.2.696570.40
Pulmonologist Clinic,1.2.840.114350.1.13.333.2.7.2.696570.10
RRMC Pastoral Care,1.2.840.114350.1.13.333.2.7.2.696570.10
APP Pediatric Oncology,1.2.840.114350.1.13.333.2.7.2.696570.10
PROVIDENCE MEDFORD MED CTR PROVIDER ORTHOPEDICS,1.2.840.114350.1.13.297.2.7.2.696570.40
PMG BRIDGEPORT IC,1.2.840.114350.1.13.297.2.7.2.696570.40
OPH REGIONAL LAB HISTOLOGY,1.2.840.114350.1.13.297.2.7.2.696570.40
OSV PROVIDENCE ORENCO MEDICAL PLAZA,1.2.840.114350.1.13.297.2.7.2.696570.405161006
